precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
9102,Election_Day,106,18,16.98,10,,1,6,,,,1
9102,VBM,106,22,20.75,16,,2,1,,1,,2
9103,Election_Day,83,15,18.07,10,1,2,1,,1,,
9103,VBM,83,12,14.46,5,,3,3,,,,1
9104,Election_Day,87,8,9.20,1,1,1,2,,1,,2
9104,VBM,87,17,19.54,16,,,1,,,,
9105,Election_Day,84,7,8.33,2,2,1,,,,,2
9105,VBM,84,22,26.19,15,2,1,4,,,,
9106,VBM,88,20,22.73,6,,1,6,,3,,4
9107,Election_Day,66,10,15.15,6,,,1,,2,,1
9107,VBM,66,12,18.18,6,,1,1,,,,4
9108,Election_Day,72,17,23.61,7,2,1,3,,2,,2
9108,VBM,72,13,18.06,8,,1,3,,,,1
9109,Election_Day,63,18,28.57,9,,3,5,,1,,
9109,VBM,63,19,30.16,10,,1,8,,,,
9111,Election_Day,61,11,18.03,7,,2,1,,,,1
9111,VBM,61,16,26.23,9,,2,4,,1,,
9112,Election_Day,92,17,18.48,10,1,1,2,,2,,1
9112,VBM,92,14,15.22,4,,1,6,1,1,,1
9113,Election_Day,88,21,23.86,8,1,2,10,,,,
9113,VBM,88,17,19.32,9,,2,4,,,,2
