precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7838,Election_Day,895,227,25.36,158,29,,40
7838,VBM,895,424,47.37,293,68,,63
7839,Election_Day,824,218,26.46,144,20,,54
7839,VBM,824,359,43.57,264,58,,37
7841,Election_Day,904,271,29.98,183,38,,50
7841,VBM,904,361,39.93,261,46,,54
7842,Election_Day,864,292,33.8,204,41,,47
7842,VBM,864,292,33.8,210,38,,44
7843,Election_Day,733,228,31.11,139,43,,46
7843,VBM,733,231,31.51,177,27,,27
7844,Election_Day,653,199,30.47,144,27,,28
7844,VBM,653,216,33.08,154,27,,35
7845,Election_Day,835,235,28.14,159,36,,40
7845,VBM,835,319,38.2,237,34,,48
7846,Election_Day,886,248,27.99,180,26,,42
7846,VBM,886,326,36.79,234,36,,56
7847,Election_Day,888,254,28.6,186,36,,32
7847,VBM,888,328,36.94,239,37,,52
7848,Election_Day,860,246,28.6,162,32,1,51
7848,VBM,860,351,40.81,237,50,,64
7849,Election_Day,920,290,31.52,212,38,,40
7849,VBM,920,326,35.43,231,39,1,55
