precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7819,VBM,762,270,35.43,202,50,,18
7821,Election_Day,918,254,27.67,201,34,,19
7821,VBM,918,399,43.46,290,84,1,24
7822,Election_Day,873,277,31.73,220,33,1,23
7822,VBM,873,300,34.36,235,50,,15
7823,Election_Day,854,253,29.63,198,30,,25
7823,VBM,854,321,37.59,236,61,,24
7824,Election_Day,748,213,28.48,170,24,,19
7824,VBM,748,269,35.96,207,48,,14
7825,Election_Day,547,174,31.81,143,22,,9
7825,VBM,547,193,35.28,160,24,,9
7826,Election_Day,672,214,31.85,173,19,,22
7826,VBM,672,251,37.35,202,33,,16
7827,Election_Day,890,249,27.98,203,17,,29
7827,VBM,890,270,30.34,209,37,,24
7828,Election_Day,935,238,25.45,191,32,,15
7828,VBM,935,397,42.46,284,84,,29
7829,Election_Day,845,217,25.68,159,47,,11
7829,VBM,845,385,45.56,284,87,,14
7831,Election_Day,878,255,29.04,208,27,,20
7831,VBM,878,364,41.46,292,53,,19
7832,Election_Day,782,221,28.26,176,33,1,11
7832,VBM,782,348,44.5,264,58,,26
7833,Election_Day,753,192,25.5,146,22,,24
7833,VBM,753,281,37.32,217,39,,25
7834,Election_Day,852,279,32.75,232,24,,23
7834,VBM,852,267,31.34,223,24,,20
7835,Election_Day,787,217,27.57,157,46,,14
7835,VBM,787,321,40.79,248,58,,15
7836,Election_Day,948,247,26.05,186,48,,13
7836,VBM,948,403,42.51,305,66,,32
7837,Election_Day,868,247,28.46,196,32,,19
7837,VBM,868,358,41.24,274,60,,24
7838,Election_Day,895,227,25.36,170,41,,16
7838,VBM,895,424,47.37,318,86,,20
7839,Election_Day,824,218,26.46,159,29,,30
7839,VBM,824,359,43.57,265,74,,20
7841,Election_Day,904,271,29.98,218,33,1,19
7841,VBM,904,361,39.93,285,48,1,27
7842,Election_Day,864,292,33.8,235,33,,24
7842,VBM,864,292,33.8,233,38,,21
7843,Election_Day,733,228,31.11,184,25,,19
7843,VBM,733,231,31.51,183,36,,12
7844,Election_Day,653,199,30.47,155,25,,19
7844,VBM,653,216,33.08,176,22,,18
7845,Election_Day,835,235,28.14,178,36,,21
7845,VBM,835,319,38.2,242,58,,19
7846,Election_Day,886,248,27.99,189,35,,24
7846,VBM,886,326,36.79,247,59,,20
7847,Election_Day,888,254,28.6,215,25,,14
7847,VBM,888,328,36.94,257,46,,25
7848,Election_Day,860,246,28.6,190,31,,25
7848,VBM,860,351,40.81,273,44,1,33
7849,Election_Day,920,290,31.52,235,40,,15
