precinct,ballot_type,registered,ballots_cast,turnout,GARY_JOHNSON,MARC_FELDMAN,RHETT_WHITE_FEATHER_SMITH,JOY_WAYMIRE,STEVE_KERBEL,JOHN_HALE,JOHN_MCAFEE,CECIL_INCE,AUSTIN_PETERSEN,DARRYL_W._PERRY,DERRICK_M._REID,"JACK_ROBINSON,_JR.",WRITE-IN,over_votes,under_votes
7554,Election_Day,6,2,33.33,,,,,1,,,,,,,,1,,
7554,VBM,6,2,33.33,1,,,,,,1,,,,,,,,
7555,Election_Day,2,1,50,,,,,,,,,,,,,1,,
7555,VBM,2,0,0,,,,,,,,,,,,,,,
7556/7557,Election_Day,3,0,0,,,,,,,,,,,,,,,
7556/7557,VBM,3,1,33.33,,,,,,,,,,,,,,,1
7601,Election_Day,3,0,0,,,,,,,,,,,,,,,
7601,VBM,3,0,0,,,,,,,,,,,,,,,
7602,Election_Day,9,1,11.11,1,,,,,,,,,,,,,,
7602,VBM,9,0,0,,,,,,,,,,,,,,,
7603,Election_Day,7,0,0,,,,,,,,,,,,,,,
7603,VBM,7,1,14.29,,,,,,,,,,,,,1,,
7604,Election_Day,8,2,25,,,,,,,1,,1,,,,,,
7604,VBM,8,4,50,,,,,,,2,,,,,1,,,1
7605,Election_Day,3,0,0,,,,,,,,,,,,,,,
7605,VBM,3,1,33.33,,,,,,,,,,,,,1,,
7606,Election_Day,7,2,28.57,,,,,,,1,,,,,,,,1
7606,VBM,7,0,0,,,,,,,,,,,,,,,
7607,Election_Day,11,2,18.18,1,,,,,,,,,1,,,,,
7607,VBM,11,4,36.36,1,,,,,1,,,,,,,1,,1
7608,Election_Day,3,0,0,,,,,,,,,,,,,,,
7608,VBM,3,1,33.33,,,,,,1,,,,,,,,,
7609,Election_Day,3,0,0,,,,,,,,,,,,,,,
7609,VBM,3,2,66.67,1,,,,1,,,,,,,,,,
7611,Election_Day,2,0,0,,,,,,,,,,,,,,,
7611,VBM,2,3,150,1,,,,,,,1,,,,,,,1
7612,Election_Day,3,2,66.67,1,,,,,,,,,,,,1,,
7612,VBM,3,0,0,,,,,,,,,,,,,,,
7613,Election_Day,7,2,28.57,1,,,,,,,,,,,,1,,
7613,VBM,7,2,28.57,,,,,,,,,,,,,1,,1
7614,Election_Day,9,3,33.33,,,,,,,1,,,,,1,,,1
7614,VBM,9,3,33.33,,,,,,,,,,1,,,2,,
7615,Election_Day,9,1,11.11,1,,,,,,,,,,,,,,
