precinct,ballot_type,registered,ballots_cast,turnout,ROBERT_ORNELAS,ALAN_SPEARS,WILEY_DRAKE,JAMES_HEDGES,THOMAS_HOEFLING,ARTHUR_HARRIS,J.R._MYERS,WRITE-IN,over_votes,under_votes
7614,VBM,14,1,7.14,,1,,,,,,,,
7615,Election_Day,30,3,10,,,1,,,,,2,,
7615,VBM,30,7,23.33,,,,1,,,1,5,,
7616,Election_Day,10,0,0,,,,,,,,,,
7616,VBM,10,6,60,,,,,,1,,4,,1
7617,Election_Day,21,1,4.76,,,,,,,,,,1
7617,VBM,21,9,42.86,2,1,,2,3,,,1,,
7618,Election_Day,6,1,16.67,,,,,,,,,,1
7618,VBM,6,6,100,1,,1,,,1,,1,,2
7619,Election_Day,32,2,6.25,,,,,,,,,,2
7619,VBM,32,7,21.88,,,,1,,1,,1,,4
7621,Election_Day,19,1,5.26,1,,,,,,,,,
7621,VBM,19,1,5.26,1,,,,,,,,,
7622,Election_Day,17,0,0,,,,,,,,,,
7622,VBM,17,2,11.76,1,,,,,1,,,,
7623,Election_Day,16,1,6.25,,,,,,,,1,,
7623,VBM,16,5,31.25,1,1,,,,,,1,,2
7624,Election_Day,22,3,13.64,,,,1,,1,1,,,
7624,VBM,22,3,13.64,1,,,,,,,1,,1
7625,Election_Day,12,2,16.67,,,1,,,1,,,,
7625,VBM,12,4,33.33,,,1,1,,,,1,,1
7626,Election_Day,17,2,11.76,,,,,,,,,,2
7626,VBM,17,4,23.53,,,,,,,,2,,2
7627,Election_Day,24,0,0,,,,,,,,,,
7627,VBM,24,10,41.67,,,,1,,1,,3,,5
7628,Election_Day,17,4,23.53,,,,,,,,,,4
7628,VBM,17,6,35.29,1,,,,,,,5,,
7629,Election_Day,8,1,12.5,,,,,,,,,,1
7629,VBM,8,3,37.5,,,,,,,,2,,1
7631,Election_Day,12,0,0,,,,,,,,,,
7631,VBM,12,6,50,,1,,,,,,2,,3
7632,Election_Day,7,2,28.57,,,,,,,,1,,1
7632,VBM,7,2,28.57,,,,,1,,,1,,
7633,Election_Day,7,0,0,,,,,,,,,,
7633,VBM,7,3,42.86,,,,1,,,,2,,
7634,Election_Day,13,1,7.69,,,,1,,,,,,
7634,VBM,13,1,7.69,,,,,,,,1,,
7635,Election_Day,14,1,7.14,,,,,1,,,,,
7635,VBM,14,4,28.57,,,,,,,,2,,2
