precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
7533,Election_Day,927,336,36.25,191,99,13,2,,31
7533,VBM,927,284,30.64,143,103,15,,,23
7534,Election_Day,882,282,31.97,159,90,4,,,29
7534,VBM,882,275,31.18,129,104,19,,,23
7535,Election_Day,761,247,32.46,131,90,7,,,19
7535,VBM,761,250,32.85,132,90,9,,,19
7536,Election_Day,804,260,32.34,133,86,9,2,,30
7536,VBM,804,287,35.7,139,113,8,2,,25
7537,Election_Day,737,225,30.53,126,65,6,,,28
7537,VBM,737,240,32.56,103,106,4,2,,25
7538,Election_Day,774,240,31.01,133,80,11,,,16
7538,VBM,774,268,34.63,127,127,3,,,11
7539,Election_Day,891,312,35.02,188,96,5,1,,22
7539,VBM,891,256,28.73,123,110,8,1,,14
7541,Election_Day,792,219,27.65,124,71,4,,,20
7541,VBM,792,270,34.09,117,117,10,1,,25
7542,Election_Day,844,261,30.92,147,84,4,,,26
7542,VBM,844,249,29.5,127,101,6,,,15
7543,Election_Day,886,198,22.35,105,74,3,,,16
7543,VBM,886,328,37.02,138,157,9,,,24
7544,Election_Day,856,216,25.23,112,81,8,1,,14
7544,VBM,856,308,35.98,135,140,13,,,20
7545,Election_Day,851,211,24.79,112,69,8,,,22
7545,VBM,851,298,35.02,131,127,11,2,,27
7546,Election_Day,857,293,34.19,141,105,17,,,30
7546,VBM,857,276,32.21,129,118,10,1,,18
7547,Election_Day,969,283,29.21,147,96,6,1,,33
7547,VBM,969,319,32.92,175,110,12,,1,21
7548,Election_Day,1029,271,26.34,133,113,4,,,21
7548,VBM,1029,371,36.05,155,164,13,1,,38
7549,Election_Day,789,217,27.5,106,83,10,1,,17
7549,VBM,789,268,33.97,142,88,15,,1,22
7551,Election_Day,682,221,32.4,124,68,7,1,,21
7551,VBM,682,224,32.84,88,108,8,,1,19
7552,Election_Day,702,204,29.06,98,84,8,,,14
7552,VBM,702,233,33.19,91,105,14,,,23
7553,Election_Day,166,3,1.81,2,1,,,,
7553,VBM,166,92,55.42,39,41,8,,,4
7554,Election_Day,808,228,28.22,93,97,11,,,27
7554,VBM,808,318,39.36,114,160,15,,,29
7555,Election_Day,848,253,29.83,95,129,7,,,22
7555,VBM,848,323,38.09,119,158,14,1,,31
7556/7557,Election_Day,955,270,28.27,107,129,15,1,,18
7556/7557,VBM,955,371,38.85,105,226,10,1,,29
7601,Election_Day,828,152,18.36,83,35,10,1,,23
7601,VBM,828,183,22.1,101,49,11,,,22
7602,Election_Day,884,185,20.93,116,41,10,,,18
7602,VBM,884,253,28.62,148,77,10,1,1,16
7603,Election_Day,791,189,23.89,118,44,6,2,,19
7603,VBM,791,242,30.59,152,68,7,,,15
7604,Election_Day,841,189,22.47,106,45,17,2,,19
7604,VBM,841,246,29.25,122,77,29,,3,15
7605,Election_Day,693,124,17.89,59,41,3,,,21
7605,VBM,693,161,23.23,75,56,12,1,,17
7606,Election_Day,881,139,15.78,92,27,7,,,13
7606,VBM,881,229,25.99,122,68,18,,2,19
7607,Election_Day,942,187,19.85,111,56,8,,,12
7607,VBM,942,274,29.09,159,84,15,,1,15
7608,Election_Day,417,51,12.23,29,13,2,,1,6
7608,VBM,417,111,26.62,51,40,11,,1,8
7609,Election_Day,917,82,8.94,46,20,3,,,13
7609,VBM,917,292,31.84,183,78,13,1,10,7
