precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7604,VBM,841,243,28.89,187,38,,18
7605,Election_Day,693,122,17.6,98,9,,15
7605,VBM,693,161,23.23,117,17,,27
7606,Election_Day,881,137,15.55,110,16,,11
7606,VBM,881,230,26.11,184,26,,20
7607,Election_Day,942,189,20.06,155,21,,13
7607,VBM,942,273,28.98,210,36,,27
7608,Election_Day,417,51,12.23,35,11,,5
7608,VBM,417,108,25.9,77,15,,16
7609,Election_Day,917,83,9.05,70,3,,10
7609,VBM,917,291,31.73,219,31,,41
7611,Election_Day,793,94,11.85,71,6,,17
7611,VBM,793,223,28.12,151,32,,40
7612,Election_Day,579,84,14.51,56,18,,10
7612,VBM,579,167,28.84,119,30,,18
7613,Election_Day,917,156,17.01,115,21,,20
7613,VBM,917,248,27.04,205,21,,22
7614,Election_Day,1046,171,16.35,128,20,,23
7614,VBM,1046,284,27.15,215,39,,30
7615,Election_Day,996,112,11.24,82,14,,16
7615,VBM,996,203,20.38,162,28,,13
7616,Election_Day,713,120,16.83,96,13,,11
7616,VBM,713,278,38.99,224,31,,23
7617,Election_Day,801,95,11.86,64,14,,17
7617,VBM,801,240,29.96,186,31,,23
7618,Election_Day,847,156,18.42,119,29,,8
7618,VBM,847,291,34.36,202,67,,22
7619,Election_Day,1473,258,17.52,194,33,,31
7619,VBM,1473,468,31.77,362,73,,33
7621,Election_Day,912,162,17.76,119,27,,16
7621,VBM,912,310,33.99,229,55,,26
7622,Election_Day,901,114,12.65,87,13,,14
7622,VBM,901,198,21.98,151,27,,20
7623,Election_Day,759,121,15.94,97,14,,10
7623,VBM,759,193,25.43,162,22,,9
7624,Election_Day,957,105,10.97,83,14,,8
7624,VBM,957,211,22.05,171,22,,18
7625,Election_Day,853,64,7.5,48,6,,10
7625,VBM,853,396,46.42,271,67,,58
7626,Election_Day,953,158,16.58,111,32,,15
7626,VBM,953,356,37.36,256,67,,33
7627,Election_Day,1123,182,16.21,142,27,,13
