precinct,ballot_type,registered,ballots_cast,turnout,RICHARD_W._STONE,JOHN-MARC_CHANDONIA,BARRY_HERMANSON,MIKE_MURPHY,WRITE-IN,over_votes,under_votes
7823,VBM,7,5,71.43,3,2,4,2,,,19
7824,Election_Day,7,2,28.57,,,1,1,,,10
7824,VBM,7,3,42.86,,1,,1,,,16
7825,Election_Day,7,2,28.57,,,,1,,,11
7825,VBM,7,1,14.29,,,,,,,6
7826,Election_Day,13,2,15.38,,,2,,,,10
7826,VBM,13,1,7.69,,1,,,,,5
7827,Election_Day,19,5,26.32,1,,1,,1,,27
7827,VBM,19,2,10.53,,,,,,,12
7828,Election_Day,6,0,0,,,,,,,
7828,VBM,6,2,33.33,,,1,1,,,10
7829,Election_Day,9,3,33.33,1,1,2,1,,,13
7829,VBM,9,3,33.33,,1,1,,,,16
7831,Election_Day,11,1,9.09,,,,,,,6
7831,VBM,11,3,27.27,2,2,2,2,,,10
7832,Election_Day,18,3,16.67,,1,,1,,,16
7832,VBM,18,11,61.11,4,5,5,5,,,47
7833,Election_Day,11,2,18.18,,,1,,,,11
