precinct,ballot_type,registered,ballots_cast,turnout,MATTHEW_DEL_CARLO,DAVID_CHIU,WRITE-IN,over_votes,under_votes
7806,Election_Day,727,203,27.92,9,152,3,,39
7806,VBM,727,275,37.83,20,220,,,35
7807,Election_Day,729,243,33.33,13,194,2,,34
7807,VBM,729,231,31.69,9,190,1,,31
7808,Election_Day,653,216,33.08,6,168,1,,41
7808,VBM,653,223,34.15,11,174,,,38
7809,Election_Day,978,266,27.2,13,205,3,,45
7809,VBM,978,362,37.01,29,287,2,,44
7811,Election_Day,731,209,28.59,10,161,2,,36
7811,VBM,731,244,33.38,13,190,6,,35
7812,Election_Day,819,231,28.21,14,167,2,,48
7812,VBM,819,297,36.26,23,239,1,,34
7813,Election_Day,982,305,31.06,16,227,5,1,56
7813,VBM,982,377,38.39,19,282,4,,72
7814,Election_Day,835,178,21.32,17,116,4,1,40
7814,VBM,835,211,25.27,23,164,1,2,21
7815,Election_Day,890,225,25.28,18,180,1,,26
7815,VBM,890,397,44.61,22,327,3,,45
7816,Election_Day,837,238,28.43,10,185,1,,42
7816,VBM,837,398,47.55,19,332,4,,43
7817,Election_Day,781,270,34.57,13,204,4,,49
7817,VBM,781,303,38.8,14,258,2,,29
7818,Election_Day,828,235,28.38,12,183,1,,39
7818,VBM,828,324,39.13,11,271,,,42
7819,Election_Day,762,216,28.35,16,152,6,,42
7819,VBM,762,274,35.96,21,212,1,,40
7821,Election_Day,918,255,27.78,7,214,,,34
7821,VBM,918,407,44.34,36,324,4,,43
7822,Election_Day,873,278,31.84,16,210,2,,50
7822,VBM,873,301,34.48,18,241,4,,38
7823,Election_Day,854,255,29.86,12,207,3,1,32
7823,VBM,854,322,37.7,22,264,2,,34
7824,Election_Day,748,214,28.61,12,167,1,,34
7824,VBM,748,272,36.36,14,215,2,,41
7825,Election_Day,547,174,31.81,15,136,5,,18
7825,VBM,547,196,35.83,11,154,2,,29
7826,Election_Day,672,215,31.99,9,167,1,,38
7826,VBM,672,255,37.95,8,203,1,,43
7827,Election_Day,890,250,28.09,16,184,6,,44
7827,VBM,890,275,30.9,26,199,9,,41
7828,Election_Day,935,239,25.56,18,184,3,,34
7828,VBM,935,401,42.89,33,302,,,66
7829,Election_Day,845,217,25.68,18,162,1,,36
7829,VBM,845,390,46.15,28,327,,,35
7831,Election_Day,878,258,29.38,14,198,1,,45
7831,VBM,878,364,41.46,20,300,2,,42
7832,Election_Day,782,222,28.39,14,178,2,,28
7832,VBM,782,350,44.76,23,287,3,,37
7833,Election_Day,753,193,25.63,10,142,4,,37
7833,VBM,753,289,38.38,21,206,2,,60
7834,Election_Day,852,280,32.86,17,207,3,,53
7834,VBM,852,268,31.46,14,203,,,51
7835,Election_Day,787,223,28.34,21,153,2,,47
7835,VBM,787,327,41.55,51,239,,,37
7836,Election_Day,948,249,26.27,20,189,2,,38
7836,VBM,948,406,42.83,41,319,,,46
7837,Election_Day,868,250,28.8,13,196,1,,40
7837,VBM,868,362,41.71,29,292,1,,40
7838,Election_Day,895,229,25.59,17,178,1,,33
7838,VBM,895,426,47.6,29,352,2,,43
7839,Election_Day,824,218,26.46,14,154,1,,49
