precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7542,VBM,844,244,28.91,202,19,,23
7543,Election_Day,886,199,22.46,158,20,,21
7543,VBM,886,322,36.34,252,42,,28
7544,Election_Day,856,214,25,165,28,,21
7544,VBM,856,305,35.63,237,37,,31
7545,Election_Day,851,210,24.68,162,21,,27
7545,VBM,851,295,34.67,223,42,,30
7546,Election_Day,857,289,33.72,216,40,,33
7546,VBM,857,274,31.97,218,23,,33
7547,Election_Day,969,282,29.1,227,23,1,31
7547,VBM,969,314,32.4,274,21,,19
7548,Election_Day,1029,270,26.24,213,23,,34
7548,VBM,1029,366,35.57,289,41,,36
7549,Election_Day,789,214,27.12,154,29,,31
7549,VBM,789,266,33.71,211,26,,29
7551,Election_Day,682,219,32.11,163,25,,31
7551,VBM,682,221,32.4,171,23,,27
7552,Election_Day,702,203,28.92,152,21,,30
7552,VBM,702,229,32.62,186,25,,18
7553,Election_Day,166,3,1.81,2,,,1
7553,VBM,166,89,53.61,72,12,,5
7554,Election_Day,808,228,28.22,142,46,,40
7554,VBM,808,311,38.49,244,41,,26
7555,Election_Day,848,253,29.83,194,27,,32
7555,VBM,848,313,36.91,236,53,,24
7556-7557,Election_Day,955,268,28.06,182,54,,32
7556-7557,VBM,955,367,38.43,267,59,,41
7601,Election_Day,828,150,18.12,102,29,,19
7601,VBM,828,184,22.22,127,36,,21
7602,Election_Day,884,183,20.7,145,16,,22
7602,VBM,884,256,28.96,190,42,,24
7603,Election_Day,791,187,23.64,141,22,,24
7603,VBM,791,238,30.09,179,27,,32
7604,Election_Day,841,186,22.12,138,23,,25
7604,VBM,841,243,28.89,180,37,1,25
7605,Election_Day,693,122,17.6,83,20,,19
7605,VBM,693,161,23.23,98,29,,34
7606,Election_Day,881,137,15.55,98,23,,16
7606,VBM,881,230,26.11,173,34,,23
7607,Election_Day,942,189,20.06,146,22,,21
7607,VBM,942,273,28.98,204,36,,33
7608,Election_Day,417,51,12.23,33,10,,8
7608,VBM,417,108,25.9,67,22,,19
7609,Election_Day,917,83,9.05,58,15,,10
7609,VBM,917,291,31.73,199,46,,46
7611,Election_Day,793,94,11.85,61,12,,21
7611,VBM,793,223,28.12,147,31,,45
7612,Election_Day,579,84,14.51,54,13,,17
7612,VBM,579,167,28.84,113,30,,24
7613,Election_Day,917,156,17.01,104,29,,23
7613,VBM,917,248,27.04,177,39,,32
7614,Election_Day,1046,171,16.35,120,25,,26
7614,VBM,1046,284,27.15,208,42,2,32
7615,Election_Day,996,112,11.24,74,17,,21
7615,VBM,996,203,20.38,155,30,,18
7616,Election_Day,713,120,16.83,90,9,,21
7616,VBM,713,278,38.99,211,38,,29
7617,Election_Day,801,95,11.86,58,13,,24
7617,VBM,801,240,29.96,180,32,,28
7618,Election_Day,847,156,18.42,116,21,,19
7618,VBM,847,291,34.36,212,50,,29
7619,Election_Day,1473,258,17.52,187,29,,42
7619,VBM,1473,468,31.77,353,67,1,47
7621,Election_Day,912,162,17.76,119,14,,29
7621,VBM,912,310,33.99,220,56,1,33
7622,Election_Day,901,114,12.65,85,12,,17
7622,VBM,901,198,21.98,144,31,,23
7623,Election_Day,759,121,15.94,94,15,,12
7623,VBM,759,193,25.43,150,31,,12
7624,Election_Day,957,105,10.97,76,18,,11
7624,VBM,957,211,22.05,165,25,,21
7625,Election_Day,853,64,7.5,38,13,,13
7625,VBM,853,396,46.42,242,73,,81
7626,Election_Day,953,158,16.58,111,28,,19
7626,VBM,953,356,37.36,246,67,,43
7627,Election_Day,1123,182,16.21,129,33,,20
7627,VBM,1123,374,33.3,224,100,,50
7628,Election_Day,913,180,19.72,131,25,,24
7628,VBM,913,307,33.63,208,60,,39
7629,Election_Day,756,146,19.31,112,22,,12
7629,VBM,756,199,26.32,156,25,,18
7631,Election_Day,931,182,19.55,127,27,,28
7631,VBM,931,315,33.83,226,62,,27
7632,Election_Day,642,146,22.74,106,19,,21
7632,VBM,642,198,30.84,141,33,1,23
7633,Election_Day,638,122,19.12,84,20,,18
7633,VBM,638,233,36.52,168,35,,30
7634,Election_Day,901,149,16.54,91,27,,31
7634,VBM,901,312,34.63,219,45,,48
7635,Election_Day,707,123,17.4,84,26,,13
7635,VBM,707,235,33.24,158,40,,37
7636,Election_Day,840,174,20.71,123,32,,19
7636,VBM,840,265,31.55,184,55,,26
7637,Election_Day,1075,170,15.81,113,32,,25
7637,VBM,1075,397,36.93,269,87,,41
7638,Election_Day,999,132,13.21,71,41,,20
7638,VBM,999,402,40.24,261,114,,27
7639,Election_Day,868,159,18.32,104,27,,28
7639,VBM,868,274,31.57,175,77,,22
7641,Election_Day,881,147,16.69,111,25,,11
7641,VBM,881,330,37.46,206,92,,32
7642,Election_Day,879,143,16.27,90,16,1,36
7642,VBM,879,397,45.16,214,69,,114
7643,Election_Day,860,125,14.53,88,18,,19
7643,VBM,860,339,39.42,227,74,,38
7644,Election_Day,918,190,20.7,136,19,,35
7644,VBM,918,275,29.96,194,49,,32
7645,Election_Day,607,88,14.5,67,14,,7
7645,VBM,607,270,44.48,170,76,,24
7646,Election_Day,1601,274,17.11,194,34,,46
7646,VBM,1601,574,35.85,420,86,,68
7647,Election_Day,861,167,19.4,127,23,,17
7647,VBM,861,169,19.63,133,21,,15
7648,Election_Day,7,0,0,,,,
7648,VBM,7,2,28.57,2,,,
7701,Election_Day,938,290,30.92,220,44,,26
7701,VBM,938,328,34.97,237,66,,25
7702,Election_Day,752,161,21.41,106,29,,26
7702,VBM,752,323,42.95,203,84,,36
7703,Election_Day,137,2,1.46,1,,,1
7703,VBM,137,55,40.15,31,17,,7
7704,Election_Day,943,239,25.34,155,56,,28
7704,VBM,943,393,41.68,242,114,,37
7705,Election_Day,536,148,27.61,96,35,,17
7705,VBM,536,228,42.54,134,74,,20
7706,Election_Day,813,220,27.06,143,52,1,24
7706,VBM,813,356,43.79,241,86,,29
7707,Election_Day,817,215,26.32,146,47,,22
7707,VBM,817,348,42.59,227,90,,31
7708,Election_Day,853,181,21.22,125,35,,21
7708,VBM,853,365,42.79,231,100,1,33
7709,Election_Day,359,97,27.02,77,13,,7
7709,VBM,359,180,50.14,125,37,,18
7711,Election_Day,763,188,24.64,141,25,,22
7711,VBM,763,310,40.63,218,67,,25
7712,Election_Day,543,142,26.15,117,12,,13
7712,VBM,543,223,41.07,164,44,,15
7801,Election_Day,928,266,28.66,196,43,,27
7801,VBM,928,394,42.46,276,81,,37
7802,Election_Day,732,223,30.46,159,39,,25
7802,VBM,732,285,38.93,199,56,,30
7803,Election_Day,775,172,22.19,114,37,,21
7803,VBM,775,403,52,295,73,1,34
7804,Election_Day,881,261,29.63,190,38,,33
7804,VBM,881,368,41.77,262,66,,40
7805,Election_Day,795,207,26.04,162,25,,20
7805,VBM,795,331,41.64,247,53,,31
