precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7645,Election_Day,607,88,14.5,42,37,,9
7645,VBM,607,270,44.48,119,131,,20
7646,Election_Day,1601,274,17.11,155,82,,37
7646,VBM,1601,574,35.85,280,234,1,59
7647,Election_Day,861,167,19.4,118,30,,19
7647,VBM,861,169,19.63,117,40,,12
7648,Election_Day,7,0,0,,,,
7648,VBM,7,2,28.57,2,,,
7701,Election_Day,938,290,30.92,191,76,,23
7701,VBM,938,328,34.97,210,94,,24
7702,Election_Day,752,161,21.41,95,47,,19
7702,VBM,752,323,42.95,164,130,,29
7703,Election_Day,137,2,1.46,1,,,1
7703,VBM,137,55,40.15,31,13,,11
7704,Election_Day,943,239,25.34,130,85,,24
7704,VBM,943,393,41.68,180,167,1,45
7705,Election_Day,536,148,27.61,75,57,,16
7705,VBM,536,228,42.54,110,101,,17
7706,Election_Day,813,220,27.06,115,88,,17
7706,VBM,813,356,43.79,176,150,,30
7707,Election_Day,817,215,26.32,125,72,,18
7707,VBM,817,348,42.59,193,127,,28
7708,Election_Day,853,181,21.22,102,58,,21
7708,VBM,853,365,42.79,201,129,2,33
7709,Election_Day,359,97,27.02,68,23,,6
7709,VBM,359,180,50.14,111,56,,13
7711,Election_Day,763,188,24.64,119,53,,16
7711,VBM,763,310,40.63,184,101,,25
7712,Election_Day,543,142,26.15,93,35,,14
7712,VBM,543,223,41.07,151,60,,12
7801,Election_Day,928,266,28.66,166,80,,20
7801,VBM,928,394,42.46,215,147,,32
7802,Election_Day,732,223,30.46,134,73,,16
7802,VBM,732,285,38.93,166,94,,25
7803,Election_Day,775,172,22.19,94,55,,23
7803,VBM,775,403,52,237,137,,29
7804,Election_Day,881,261,29.63,166,69,,26
7804,VBM,881,368,41.77,209,126,,33
7805,Election_Day,795,207,26.04,147,43,,17
7805,VBM,795,331,41.64,205,94,,32
7806,Election_Day,727,205,28.2,148,44,,13
7806,VBM,727,267,36.73,165,83,1,18
7807,Election_Day,729,243,33.33,182,43,,18
7807,VBM,729,229,31.41,150,64,,15
7808,Election_Day,653,218,33.38,158,43,,17
7808,VBM,653,217,33.23,151,50,,16
7809,Election_Day,978,265,27.1,204,36,,25
7809,VBM,978,357,36.5,260,69,,28
7811,Election_Day,731,207,28.32,152,35,,20
7811,VBM,731,235,32.15,169,52,,14
7812,Election_Day,819,229,27.96,161,41,,27
7812,VBM,819,294,35.9,196,81,1,16
7813,Election_Day,982,306,31.16,217,64,,25
7813,VBM,982,367,37.37,252,85,,30
7814,Election_Day,835,177,21.2,127,30,,20
7814,VBM,835,209,25.03,140,52,1,16
7815,Election_Day,890,226,25.39,149,55,,22
7815,VBM,890,392,44.04,251,114,,27
7816,Election_Day,837,236,28.2,151,66,,19
7816,VBM,837,396,47.31,259,111,,26
7817,Election_Day,781,268,34.31,193,52,,23
7817,VBM,781,301,38.54,221,64,,16
7818,Election_Day,828,235,28.38,166,49,,20
7818,VBM,828,323,39.01,206,100,,17
7819,Election_Day,762,213,27.95,144,51,1,17
