PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),VICTOR HWANG,PAUL HENDERSON,Under Vote,Over Vote
Pct 7508,Election Day,7508,1,735,150,20.41,77,43,29,1
Pct 7508,VBM,7508,1,735,456,62.04,235,134,87,0
Pct 7509/7511,Election Day,7509,1,1006,260,25.84,141,75,43,1
Pct 7509/7511,VBM,7509,1,1006,565,56.16,297,164,103,1
Pct 7512,Election Day,7512,1,638,168,26.33,87,37,44,0
Pct 7512,VBM,7512,1,638,325,50.94,154,106,65,0
Pct 7513,Election Day,7513,1,836,257,30.74,120,77,59,1
Pct 7513,VBM,7513,1,836,344,41.15,192,98,54,0
Pct 7514,Election Day,7514,1,886,186,20.99,68,66,52,0
Pct 7514,VBM,7514,1,886,358,40.41,182,126,49,1
Pct 7515,Election Day,7515,1,898,262,29.18,126,81,55,0
Pct 7515,VBM,7515,1,898,448,49.89,231,134,83,0
Pct 7516,Election Day,7516,1,907,201,22.16,96,65,40,0
Pct 7516,VBM,7516,1,907,558,61.52,303,160,94,1
Pct 7517,Election Day,7517,1,956,354,37.03,207,72,75,0
Pct 7517,VBM,7517,1,956,472,49.37,286,109,77,0
Pct 7518,Election Day,7518,1,993,356,35.85,199,73,84,0
Pct 7518,VBM,7518,1,993,502,50.55,288,144,70,0
Pct 7519,Election Day,7519,1,802,283,35.29,179,45,57,2
Pct 7519,VBM,7519,1,802,393,49.00,207,102,84,0
Pct 7521,Election Day,7521,1,854,321,37.59,191,68,62,0
Pct 7521,VBM,7521,1,854,405,47.42,230,89,86,0
Pct 7522,Election Day,7522,1,848,307,36.20,209,54,44,0
Pct 7522,VBM,7522,1,848,435,51.30,257,108,70,0
Pct 7523,Election Day,7523,1,821,288,35.08,203,44,41,0
Pct 7523,VBM,7523,1,821,401,48.84,231,96,74,0
Pct 7524,Election Day,7524,1,728,228,31.32,143,54,31,0
Pct 7524,VBM,7524,1,728,304,41.76,172,76,56,0
Pct 7525,Election Day,7525,1,870,236,27.13,137,62,37,0
Pct 7525,VBM,7525,1,870,400,45.98,227,88,83,2
Pct 7526,Election Day,7526,1,999,280,28.03,176,54,50,0
Pct 7526,VBM,7526,1,999,578,57.86,327,146,105,0
Pct 7527/7528,Election Day,7527,1,773,258,33.38,149,56,53,0
Pct 7527/7528,VBM,7527,1,773,366,47.35,215,94,57,0
Pct 7529,Election Day,7529,1,992,318,32.06,192,57,69,0
Pct 7529,VBM,7529,1,992,542,54.64,311,135,96,0
Pct 7531,Election Day,7531,1,954,301,31.55,190,53,58,0
Pct 7531,VBM,7531,1,954,504,52.83,300,104,100,0
Pct 7532,Election Day,7532,1,886,280,31.60,166,56,58,0
Pct 7532,VBM,7532,1,886,461,52.03,249,122,90,0
Pct 7533,Election Day,7533,1,1025,428,41.76,283,79,65,1
Pct 7533,VBM,7533,1,1025,482,47.02,299,100,83,0
Pct 7534,Election Day,7534,1,967,337,34.85,217,56,64,0
Pct 7534,VBM,7534,1,967,438,45.29,253,113,72,0
Pct 7535,Election Day,7535,1,807,296,36.68,190,50,56,0
Pct 7535,VBM,7535,1,807,415,51.43,242,89,84,0
Pct 7536,Election Day,7536,1,895,295,32.96,182,57,56,0
Pct 7536,VBM,7536,1,895,480,53.63,268,122,90,0
Pct 7537,Election Day,7537,1,783,294,37.55,177,56,61,0
Pct 7537,VBM,7537,1,783,370,47.25,227,89,54,0
Pct 7538,Election Day,7538,1,831,291,35.02,190,47,53,1
Pct 7538,VBM,7538,1,831,445,53.55,254,105,86,0
Pct 7539,Election Day,7539,1,978,363,37.12,239,70,53,1
Pct 7539,VBM,7539,1,978,458,46.83,266,103,89,0
Pct 7541,Election Day,7541,1,865,271,31.33,187,48,36,0
Pct 7541,VBM,7541,1,865,457,52.83,252,120,85,0
Pct 7542,Election Day,7542,1,906,291,32.12,177,63,51,0
Pct 7542,VBM,7542,1,906,465,51.32,283,105,77,0
Pct 7543,Election Day,7543,1,993,267,26.89,158,55,53,1
