PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7318,Election Day,7318,1,788,252,31.98,146,45,56,0
Pct 7318,VBM,7318,1,788,437,55.46,265,90,77,0
Pct 7319,Election Day,7319,1,1123,330,29.39,216,61,52,0
Pct 7319,VBM,7319,1,1123,578,51.47,357,113,97,0
Pct 7321,Election Day,7321,1,683,179,26.21,114,33,35,0
Pct 7321,VBM,7321,1,683,314,45.97,179,78,49,0
Pct 7322,Election Day,7322,1,937,122,13.02,78,16,30,0
Pct 7322,VBM,7322,1,937,404,43.12,239,71,88,0
Pct 7323,Election Day,7323,1,888,277,31.19,178,56,43,0
Pct 7323,VBM,7323,1,888,450,50.68,286,80,70,0
Pct 7324,Election Day,7324,1,756,216,28.57,143,35,36,0
Pct 7324,VBM,7324,1,756,385,50.93,252,59,69,0
Pct 7325,Election Day,7325,1,973,282,28.98,190,45,45,0
Pct 7325,VBM,7325,1,973,510,52.42,347,74,80,0
Pct 7326,Election Day,7326,1,922,266,28.85,189,34,42,0
Pct 7326,VBM,7326,1,922,483,52.39,330,67,74,0
Pct 7327,Election Day,7327,1,762,95,12.47,65,12,18,0
Pct 7327,VBM,7327,1,762,339,44.49,197,71,71,0
Pct 7328,Election Day,7328,1,1024,115,11.23,79,10,28,0
Pct 7328,VBM,7328,1,1024,502,49.02,294,82,127,0
Pct 7329,Election Day,7329,1,607,120,19.77,62,36,23,0
Pct 7329,VBM,7329,1,607,334,55.02,218,77,36,0
Pct 7331,Election Day,7331,1,933,260,27.87,161,62,38,0
Pct 7331,VBM,7331,1,933,533,57.13,339,102,80,0
Pct 7332,Election Day,7332,1,889,274,30.82,196,31,46,0
Pct 7332,VBM,7332,1,889,444,49.94,319,64,54,0
Pct 7333,Election Day,7333,1,1101,324,29.43,222,47,54,0
Pct 7333,VBM,7333,1,1101,564,51.23,364,87,103,0
Pct 7334,Election Day,7334,1,963,248,25.75,182,33,32,0
Pct 7334,VBM,7334,1,963,526,54.62,344,78,93,0
Pct 7335,Election Day,7335,1,1002,306,30.54,214,43,51,0
Pct 7335,VBM,7335,1,1002,588,58.68,371,122,83,0
Pct 7336,Election Day,7336,1,1017,275,27.04,169,51,55,0
Pct 7336,VBM,7336,1,1017,608,59.78,388,119,93,0
Pct 7337,Election Day,7337,1,944,223,23.62,152,38,33,0
Pct 7337,VBM,7337,1,944,532,56.36,344,98,86,0
Pct 7338,Election Day,7338,1,1005,195,19.40,122,22,52,0
Pct 7338,VBM,7338,1,1005,500,49.75,295,113,85,0
Pct 7339,Election Day,7339,1,660,179,27.12,140,20,19,0
Pct 7339,VBM,7339,1,660,316,47.88,235,41,35,0
Pct 7341,Election Day,7341,1,974,289,29.67,194,37,52,0
Pct 7341,VBM,7341,1,974,476,48.87,330,71,72,0
Pct 7342,Election Day,7342,1,1034,380,36.75,286,40,55,0
Pct 7342,VBM,7342,1,1034,411,39.75,299,59,45,0
Pct 7343,Election Day,7343,1,746,267,35.79,210,21,35,0
Pct 7343,VBM,7343,1,746,351,47.05,245,37,65,0
Pct 7344,Election Day,7344,1,1143,352,30.80,222,57,73,0
Pct 7344,VBM,7344,1,1143,564,49.34,407,90,61,0
Pct 7345,Election Day,7345,1,1186,365,30.78,267,39,59,0
