PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JANE KIM,SCOTT WIENER,Under Vote,Over Vote
Pct 7533,Election Day,7533,1,1025,428,41.76,259,140,28,1
Pct 7533,VBM,7533,1,1025,482,47.02,253,182,46,1
Pct 7534,Election Day,7534,1,967,337,34.85,210,109,18,0
Pct 7534,VBM,7534,1,967,438,45.29,212,185,40,1
Pct 7535,Election Day,7535,1,807,296,36.68,176,103,17,0
Pct 7535,VBM,7535,1,807,415,51.43,213,167,35,0
Pct 7536,Election Day,7536,1,895,295,32.96,173,104,18,0
Pct 7536,VBM,7536,1,895,480,53.63,219,225,36,0
Pct 7537,Election Day,7537,1,783,294,37.55,167,105,22,0
Pct 7537,VBM,7537,1,783,370,47.25,169,175,24,2
Pct 7538,Election Day,7538,1,831,291,35.02,162,109,20,0
Pct 7538,VBM,7538,1,831,445,53.55,191,218,36,0
Pct 7539,Election Day,7539,1,978,363,37.12,218,128,17,0
Pct 7539,VBM,7539,1,978,458,46.83,238,195,24,1
Pct 7541,Election Day,7541,1,865,271,31.33,162,95,14,0
Pct 7541,VBM,7541,1,865,457,52.83,205,224,28,0
Pct 7542,Election Day,7542,1,906,291,32.12,187,89,15,0
Pct 7542,VBM,7542,1,906,465,51.32,268,167,30,0
Pct 7543,Election Day,7543,1,993,267,26.89,154,88,25,0
Pct 7543,VBM,7543,1,993,539,54.28,241,267,31,0
Pct 7544,Election Day,7544,1,962,295,30.67,141,135,18,1
Pct 7544,VBM,7544,1,962,526,54.68,237,245,44,0
Pct 7545,Election Day,7545,1,970,276,28.45,145,107,24,0
Pct 7545,VBM,7545,1,970,557,57.42,261,247,49,0
Pct 7546,Election Day,7546,1,935,365,39.04,203,132,29,1
Pct 7546,VBM,7546,1,935,452,48.34,226,201,25,0
Pct 7547,Election Day,7547,1,1057,335,31.69,201,105,29,0
Pct 7547,VBM,7547,1,1057,502,47.49,255,191,56,0
Pct 7548,Election Day,7548,1,1135,338,29.78,193,114,31,0
Pct 7548,VBM,7548,1,1135,556,48.99,236,273,47,0
Pct 7549,Election Day,7549,1,854,276,32.32,141,115,20,0
Pct 7549,VBM,7549,1,854,458,53.63,231,186,41,0
Pct 7551,Election Day,7551,1,762,252,33.07,127,104,21,0
Pct 7551,VBM,7551,1,762,417,54.72,199,188,30,0
Pct 7552,Election Day,7552,1,756,256,33.86,135,112,9,0
Pct 7552,VBM,7552,1,756,422,55.82,154,231,37,0
Pct 7553 MB,Election Day,7553,1,187,5,2.67,3,0,2,0
Pct 7553 MB,VBM,7553,1,187,163,87.17,71,70,22,0
Pct 7554,Election Day,7554,1,859,279,32.48,124,133,22,0
Pct 7554,VBM,7554,1,859,490,57.04,204,255,31,0
Pct 7555,Election Day,7555,1,893,298,33.37,126,153,19,0
Pct 7555,VBM,7555,1,893,548,61.37,226,281,41,0
Pct 7556/7557,Election Day,7556,1,1008,315,31.25,132,162,21,0
Pct 7556/7557,VBM,7556,1,1008,591,58.63,213,339,39,0
Pct 7601,Election Day,7601,1,929,223,24.00,133,71,19,0
Pct 7601,VBM,7601,1,929,365,39.29,192,136,36,1
Pct 7602,Election Day,7602,1,962,267,27.75,180,61,22,4
Pct 7602,VBM,7602,1,962,422,43.87,244,155,21,2
Pct 7603,Election Day,7603,1,888,286,32.21,179,84,23,0
Pct 7603,VBM,7603,1,888,404,45.50,235,146,23,0
Pct 7604,Election Day,7604,1,989,284,28.72,176,86,22,0
Pct 7604,VBM,7604,1,989,393,39.74,212,153,28,0
Pct 7605,Election Day,7605,1,771,191,24.77,96,68,26,1
Pct 7605,VBM,7605,1,771,237,30.74,129,93,12,3
Pct 7606,Election Day,7606,1,992,247,24.90,154,66,25,2
Pct 7606,VBM,7606,1,992,393,39.62,211,143,37,2
Pct 7607,Election Day,7607,1,1055,272,25.78,162,82,28,0
Pct 7607,VBM,7607,1,1055,438,41.52,239,171,28,0
Pct 7608,Election Day,7608,1,456,89,19.52,53,27,9,0
Pct 7608,VBM,7608,1,456,155,33.99,71,68,15,1
Pct 7609,Election Day,7609,1,1051,153,14.56,94,41,18,0
