PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),IAN KALIN,PHIL KIM,JILL WYNNS,MARK SANCHEZ,RACHEL NORTON,MATT HANEY,STEVON COOK,ROB GELLER,TREVOR MCNEIL,WRITE-IN,Under Vote,Over Vote
Pct 7318,Election Day,7318,1,788,252,31.98,25,30,45,69,57,72,64,14,31,0,601,0
Pct 7318,VBM,7318,1,788,437,55.46,46,77,128,154,138,170,124,23,93,0,787,8
Pct 7319,Election Day,7319,1,1123,330,29.39,45,48,63,120,74,105,84,17,57,6,701,0
Pct 7319,VBM,7319,1,1123,578,51.47,59,58,141,143,162,215,174,22,104,2,1228,4
Pct 7321,Election Day,7321,1,683,179,26.21,13,40,45,51,37,45,40,11,36,4,394,0
Pct 7321,VBM,7321,1,683,314,45.97,35,60,92,113,121,122,94,21,64,1,529,4
Pct 7322,Election Day,7322,1,937,122,13.02,6,24,25,32,23,24,22,4,20,0,308,0
Pct 7322,VBM,7322,1,937,404,43.12,21,63,172,142,145,142,56,13,78,4,780,0
Pct 7323,Election Day,7323,1,888,277,31.19,31,42,51,83,67,97,81,17,48,0,591,0
Pct 7323,VBM,7323,1,888,450,50.68,47,65,114,152,134,183,134,27,85,0,859,0
Pct 7324,Election Day,7324,1,756,216,28.57,18,43,45,61,57,71,60,9,30,0,470,0
Pct 7324,VBM,7324,1,756,385,50.93,31,56,107,123,109,151,119,9,78,2,755,0
Pct 7325,Election Day,7325,1,973,282,28.98,26,41,58,86,68,103,86,10,42,0,608,0
Pct 7325,VBM,7325,1,973,510,52.42,55,65,106,159,150,185,157,22,95,4,1042,0
Pct 7326,Election Day,7326,1,922,266,28.85,26,37,56,87,66,94,86,19,52,0,541,0
Pct 7326,VBM,7326,1,922,483,52.39,47,60,143,160,149,185,145,24,94,1,912,12
Pct 7327,Election Day,7327,1,762,95,12.47,6,18,25,33,27,28,28,4,19,0,192,0
Pct 7327,VBM,7327,1,762,339,44.49,21,54,131,120,108,105,66,12,61,2,676,0
Pct 7328,Election Day,7328,1,1024,115,11.23,11,20,30,39,29,32,25,4,16,0,254,0
Pct 7328,VBM,7328,1,1024,502,49.02,38,75,178,166,158,189,128,34,93,4,945,0
Pct 7329,Election Day,7329,1,607,120,19.77,15,15,25,29,32,35,32,11,20,0,266,0
Pct 7329,VBM,7329,1,607,334,55.02,54,54,99,107,121,136,102,30,70,0,555,8
Pct 7331,Election Day,7331,1,933,260,27.87,30,37,62,62,64,97,73,27,65,0,519,4
