PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),BEVAN DUFTY,MICHAEL PETRELIS,GWYNETH BORDEN,WRITE-IN,Under Vote,Over Vote
Pct 7829,Election Day,7829,1,904,269,29.76,173,5,45,2,43,1
Pct 7829,VBM,7829,1,904,572,63.27,312,15,139,3,103,0
Pct 7831,Election Day,7831,1,906,272,30.02,160,8,52,0,52,0
Pct 7831,VBM,7831,1,906,531,58.61,285,10,144,0,91,1
Pct 7832,Election Day,7832,1,824,247,29.98,119,5,61,0,62,0
Pct 7832,VBM,7832,1,824,512,62.14,283,9,112,1,107,0
Pct 7833,Election Day,7833,1,785,251,31.97,121,11,50,1,67,1
Pct 7833,VBM,7833,1,785,459,58.47,243,11,105,1,98,1
Pct 7834,Election Day,7834,1,901,321,35.63,167,13,67,0,74,0
Pct 7834,VBM,7834,1,901,454,50.39,248,13,105,1,85,2
Pct 7835,Election Day,7835,1,863,249,28.85,121,7,63,1,57,0
Pct 7835,VBM,7835,1,863,536,62.11,272,23,136,1,103,1
Pct 7836,Election Day,7836,1,990,290,29.29,147,19,70,1,53,0
Pct 7836,VBM,7836,1,990,613,61.92,324,15,132,1,139,2
Pct 7837,Election Day,7837,1,934,305,32.66,166,6,66,0,66,1
Pct 7837,VBM,7837,1,934,535,57.28,268,4,126,2,135,0
Pct 7838,Election Day,7838,1,933,250,26.80,147,11,49,1,41,1
Pct 7838,VBM,7838,1,933,589,63.13,334,7,138,0,110,0
Pct 7839,Election Day,7839,1,869,229,26.35,117,7,50,0,55,0
Pct 7839,VBM,7839,1,869,556,63.98,292,8,125,1,128,2
Pct 7841,Election Day,7841,1,947,309,32.63,168,7,62,0,72,0
Pct 7841,VBM,7841,1,947,530,55.97,290,8,103,0,127,2
Pct 7842,Election Day,7842,1,960,356,37.08,191,11,83,2,69,0
Pct 7842,VBM,7842,1,960,508,52.92,257,21,129,0,100,1
Pct 7843,Election Day,7843,1,802,272,33.92,138,15,58,0,61,0
Pct 7843,VBM,7843,1,802,407,50.75,190,16,115,0,85,1
Pct 7844,Election Day,7844,1,682,246,36.07,131,13,46,0,56,0
Pct 7844,VBM,7844,1,682,348,51.03,162,8,100,0,78,0
Pct 7845,Election Day,7845,1,869,288,33.14,154,7,59,2,65,1
Pct 7845,VBM,7845,1,869,495,56.96,262,15,112,1,104,1
Pct 7846,Election Day,7846,1,925,272,29.41,154,4,59,0,55,0
Pct 7846,VBM,7846,1,925,542,58.59,261,7,144,2,128,0
Pct 7847,Election Day,7847,1,960,284,29.58,146,14,56,1,67,0
Pct 7847,VBM,7847,1,960,559,58.23,278,10,134,2,131,4
Pct 7848,Election Day,7848,1,905,304,33.59,165,14,56,2,67,0
Pct 7848,VBM,7848,1,905,514,56.80,278,11,115,1,108,1
