PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7348,Election Day,7348,1,957,231,24.14,159,59,15,0
Pct 7348,VBM,7348,1,957,416,43.47,286,95,27,0
Pct 7349,Election Day,7349,1,1006,277,27.53,180,75,22,0
Pct 7349,VBM,7349,1,1006,494,49.11,323,129,33,0
Pct 7501,Election Day,7501,1,574,201,35.02,156,36,9,0
Pct 7501,VBM,7501,1,574,321,55.92,226,67,21,0
Pct 7502,Election Day,7502,1,808,240,29.70,175,53,13,0
Pct 7502,VBM,7502,1,808,454,56.19,322,102,21,1
Pct 7503,Election Day,7503,1,808,252,31.19,179,57,20,0
Pct 7503,VBM,7503,1,808,436,53.96,327,87,14,0
Pct 7504,Election Day,7504,1,503,158,31.41,96,32,29,0
Pct 7504,VBM,7504,1,503,262,52.09,192,47,16,0
Pct 7505,Election Day,7505,1,915,181,19.78,124,39,18,0
Pct 7505,VBM,7505,1,915,581,63.50,423,106,40,0
Pct 7506,Election Day,7506,1,1018,261,25.64,180,64,19,0
Pct 7506,VBM,7506,1,1018,537,52.75,381,106,32,2
Pct 7507,Election Day,7507,1,992,244,24.60,149,78,18,0
Pct 7507,VBM,7507,1,992,387,39.01,283,88,12,1
Pct 7508,Election Day,7508,1,735,150,20.41,103,36,11,0
Pct 7508,VBM,7508,1,735,456,62.04,312,110,30,0
Pct 7509/7511,Election Day,7509,1,1006,260,25.84,195,52,16,0
Pct 7509/7511,VBM,7509,1,1006,565,56.16,410,108,34,0
Pct 7512,Election Day,7512,1,638,168,26.33,126,31,11,0
Pct 7512,VBM,7512,1,638,325,50.94,235,64,22,0
Pct 7513,Election Day,7513,1,836,257,30.74,166,57,37,0
Pct 7513,VBM,7513,1,836,344,41.15,250,82,9,0
Pct 7514,Election Day,7514,1,886,186,20.99,110,48,30,0
Pct 7514,VBM,7514,1,886,358,40.41,232,97,23,0
Pct 7515,Election Day,7515,1,898,262,29.18,170,69,23,0
Pct 7515,VBM,7515,1,898,448,49.89,304,105,33,0
Pct 7516,Election Day,7516,1,907,201,22.16,138,49,15,0
Pct 7516,VBM,7516,1,907,558,61.52,378,137,36,1
Pct 7517,Election Day,7517,1,956,354,37.03,281,55,17,1
Pct 7517,VBM,7517,1,956,472,49.37,376,72,15,1
Pct 7518,Election Day,7518,1,993,356,35.85,299,45,15,0
Pct 7518,VBM,7518,1,993,502,50.55,410,67,17,0
Pct 7519,Election Day,7519,1,802,283,35.29,228,41,14,0
Pct 7519,VBM,7519,1,802,393,49.00,320,55,10,0
Pct 7521,Election Day,7521,1,854,321,37.59,270,38,15,0
Pct 7521,VBM,7521,1,854,405,47.42,345,40,10,0
Pct 7522,Election Day,7522,1,848,307,36.20,262,33,11,0
Pct 7522,VBM,7522,1,848,435,51.30,350,64,17,0
Pct 7523,Election Day,7523,1,821,288,35.08,249,36,3,0
Pct 7523,VBM,7523,1,821,401,48.84,326,62,11,0
Pct 7524,Election Day,7524,1,728,228,31.32,171,45,14,0
Pct 7524,VBM,7524,1,728,304,41.76,239,50,10,0
Pct 7525,Election Day,7525,1,870,236,27.13,177,48,11,0
Pct 7525,VBM,7525,1,870,400,45.98,299,72,19,0
Pct 7526,Election Day,7526,1,999,280,28.03,216,56,9,0
Pct 7526,VBM,7526,1,999,578,57.86,460,85,26,1
Pct 7527/7528,Election Day,7527,1,773,258,33.38,191,44,17,0
Pct 7527/7528,VBM,7527,1,773,366,47.35,294,54,12,0
Pct 7529,Election Day,7529,1,992,318,32.06,267,36,17,0
Pct 7529,VBM,7529,1,992,542,54.64,440,75,22,0
Pct 7531,Election Day,7531,1,954,301,31.55,246,45,11,1
Pct 7531,VBM,7531,1,954,504,52.83,429,51,19,0
Pct 7532,Election Day,7532,1,886,280,31.60,204,52,24,0
Pct 7532,VBM,7532,1,886,461,52.03,351,89,19,1
Pct 7533,Election Day,7533,1,1025,428,41.76,358,61,10,0
Pct 7533,VBM,7533,1,1025,482,47.02,396,60,16,0
Pct 7534,Election Day,7534,1,967,337,34.85,282,41,14,0
Pct 7534,VBM,7534,1,967,438,45.29,368,57,12,0
Pct 7535,Election Day,7535,1,807,296,36.68,249,40,9,0
Pct 7535,VBM,7535,1,807,415,51.43,358,37,13,0
Pct 7536,Election Day,7536,1,895,295,32.96,244,35,17,0
Pct 7536,VBM,7536,1,895,480,53.63,390,59,22,0
Pct 7537,Election Day,7537,1,783,294,37.55,236,40,17,0
Pct 7537,VBM,7537,1,783,370,47.25,312,41,13,0
Pct 7538,Election Day,7538,1,831,291,35.02,246,32,13,0
Pct 7538,VBM,7538,1,831,445,53.55,372,44,24,0
Pct 7539,Election Day,7539,1,978,363,37.12,308,45,10,0
Pct 7539,VBM,7539,1,978,458,46.83,387,50,17,0
Pct 7541,Election Day,7541,1,865,271,31.33,237,29,5,0
Pct 7541,VBM,7541,1,865,457,52.83,385,61,8,0
Pct 7542,Election Day,7542,1,906,291,32.12,250,32,9,0
Pct 7542,VBM,7542,1,906,465,51.32,373,72,16,1
Pct 7543,Election Day,7543,1,993,267,26.89,210,37,19,0
Pct 7543,VBM,7543,1,993,539,54.28,441,78,15,0
Pct 7544,Election Day,7544,1,962,295,30.67,232,51,12,0
Pct 7544,VBM,7544,1,962,526,54.68,432,67,24,0
Pct 7545,Election Day,7545,1,970,276,28.45,223,41,13,0
Pct 7545,VBM,7545,1,970,557,57.42,416,104,31,0
Pct 7546,Election Day,7546,1,935,365,39.04,301,44,17,0
Pct 7546,VBM,7546,1,935,452,48.34,376,60,14,0
Pct 7547,Election Day,7547,1,1057,335,31.69,290,32,11,0
Pct 7547,VBM,7547,1,1057,502,47.49,415,56,23,0
Pct 7548,Election Day,7548,1,1135,338,29.78,280,38,18,1
Pct 7548,VBM,7548,1,1135,556,48.99,463,74,15,0
Pct 7549,Election Day,7549,1,854,276,32.32,215,44,16,0
Pct 7549,VBM,7549,1,854,458,53.63,375,60,16,0
Pct 7551,Election Day,7551,1,762,252,33.07,198,44,10,0
