precinct_id	name	list_order	type_1	type_2	type_3	type_4	type_5	type_6	cmax_category_order	ed_turnout	ev_turnout	MAIL_turnout	type4_turnout	type5_turnout	type6_turnout	turnout
308	Pct 7859	308	1	2	3	4	5	6	2	208	219	0	0	0	0	427
309	Pct 7861	309	1	2	3	4	5	6	2	198	174	0	0	0	0	372
310	Pct 7862	310	1	2	3	4	5	6	2	244	191	0	0	0	0	435
311	Pct 7863	311	1	2	3	4	5	6	2	240	175	0	0	0	0	415
312	Pct 7864	312	1	2	3	4	5	6	2	190	144	0	0	0	0	334
313	Pct 7865	313	1	2	3	4	5	6	2	227	173	0	0	0	0	400
314	Pct 7866	314	1	2	3	4	5	6	2	182	253	0	0	0	0	435
315	Pct 7867	315	1	2	3	4	5	6	2	224	198	0	0	0	0	422
316	Pct 7868	316	1	2	3	4	5	6	2	199	207	0	0	0	0	406
317	Pct 7869	317	1	2	3	4	5	6	2	204	240	0	0	0	0	444
318	Pct 7871	318	1	2	3	4	5	6	2	246	216	0	0	0	0	462
319	Pct 7872	319	1	2	3	4	5	6	2	272	215	0	0	0	0	487
320	Pct 7873	320	1	2	3	4	5	6	2	234	208	0	0	0	0	442
321	Pct 7874	321	1	2	3	4	5	6	2	113	99	0	0	0	0	212
322	Pct 7875	322	1	2	3	4	5	6	2	86	125	0	0	0	0	211
323	Pct 7901	323	1	2	3	4	5	6	2	228	182	0	0	0	0	410
324	Pct 7902	324	1	2	3	4	5	6	2	230	129	0	0	0	0	359
325	Pct 7903	325	1	2	3	4	5	6	2	166	130	0	0	0	0	296
326	Pct 7904	326	1	2	3	4	5	6	2	147	154	0	0	0	0	301
327	Pct 7905	327	1	2	3	4	5	6	2	197	155	0	0	0	0	352
328	Pct 7906	328	1	2	3	4	5	6	2	212	118	0	0	0	0	330
329	Pct 7907	329	1	2	3	4	5	6	2	217	147	0	0	0	0	364
330	Pct 7908	330	1	2	3	4	5	6	2	206	157	0	0	0	0	363
331	Pct 7909	331	1	2	3	4	5	6	2	205	93	0	0	0	0	298
332	Pct 7911	332	1	2	3	4	5	6	2	209	162	0	0	0	0	371
333	Pct 7912	333	1	2	3	4	5	6	2	229	172	0	0	0	0	401
334	Pct 7913	334	1	2	3	4	5	6	2	260	143	0	0	0	0	403
335	Pct 7914	335	1	2	3	4	5	6	2	208	143	0	0	0	0	351
336	Pct 7915	336	1	2	3	4	5	6	2	201	86	0	0	0	0	287
337	Pct 7916	337	1	2	3	4	5	6	2	235	150	0	0	0	0	385
338	Pct 7917	338	1	2	3	4	5	6	2	244	142	0	0	0	0	386
339	Pct 7918	339	1	2	3	4	5	6	2	208	120	0	0	0	0	328
340	Pct 7919	340	1	2	3	4	5	6	2	264	140	0	0	0	0	404
341	Pct 7921	341	1	2	3	4	5	6	2	175	128	0	0	0	0	303
342	Pct 7922	342	1	2	3	4	5	6	2	197	148	0	0	0	0	345
343	Pct 7923	343	1	2	3	4	5	6	2	215	153	0	0	0	0	368
344	Pct 7924	344	1	2	3	4	5	6	2	192	143	0	0	0	0	335
345	Pct 7925	345	1	2	3	4	5	6	2	131	95	0	0	0	0	226
346	Pct 7926	346	1	2	3	4	5	6	2	188	158	0	0	0	0	346
347	Pct 7927	347	1	2	3	4	5	6	2	219	153	0	0	0	0	372
348	Pct 7928	348	1	2	3	4	5	6	2	273	184	0	0	0	0	457
349	Pct 7929	349	1	2	3	4	5	6	2	207	224	0	0	0	0	431
350	Pct 7931	350	1	2	3	4	5	6	2	194	185	0	0	0	0	379
351	Pct 7932	351	1	2	3	4	5	6	2	127	111	0	0	0	0	238
352	Pct 7933 MB	352	1	2	3	4	5	6	2	0	6	0	0	0	0	6
353	Pct 7934	353	1	2	3	4	5	6	2	216	162	0	0	0	0	378
354	Pct 7935	354	1	2	3	4	5	6	2	247	205	0	0	0	0	452
355	Pct 7936	355	1	2	3	4	5	6	2	242	170	0	0	0	0	412
356	Pct 7937	356	1	2	3	4	5	6	2	219	186	0	0	0	0	405
357	Pct 7938	357	1	2	3	4	5	6	2	182	119	0	0	0	0	301
358	Pct 7939	358	1	2	3	4	5	6	2	203	121	0	0	0	0	324
359	Pct 7941	359	1	2	3	4	5	6	2	181	143	0	0	0	0	324
360	Pct 7942	360	1	2	3	4	5	6	2	196	161	0	0	0	0	357
361	Pct 7943	361	1	2	3	4	5	6	2	201	175	0	0	0	0	376
362	Pct 7944	362	1	2	3	4	5	6	2	204	125	0	0	0	0	329
363	Pct 7945	363	1	2	3	4	5	6	2	91	199	0	0	0	0	290
364	Pct 7946	364	1	2	3	4	5	6	2	128	189	0	0	0	0	317
365	Pct 7947	365	1	2	3	4	5	6	2	117	199	0	0	0	0	316
366	Pct 7948	366	1	2	3	4	5	6	2	160	194	0	0	0	0	354
367	Pct 7949	367	1	2	3	4	5	6	2	65	129	0	0	0	0	194
368	Pct 7951	368	1	2	3	4	5	6	2	92	182	0	0	0	0	274
369	Pct 7952	369	1	2	3	4	5	6	2	105	161	0	0	0	0	266
370	Pct 7953	370	1	2	3	4	5	6	2	127	160	0	0	0	0	287
371	Pct 7954 MB	371	1	2	3	4	5	6	2	0	0	0	0	0	0	0
372	Pct 7955	372	1	2	3	4	5	6	2	122	182	0	0	0	0	304
373	Pct 7956	373	1	2	3	4	5	6	2	83	170	0	0	0	0	253
374	Pct 7957	374	1	2	3	4	5	6	2	88	143	0	0	0	0	231
375	Pct 7958 MB	375	1	2	3	4	5	6	2	0	67	0	0	0	0	67
376	Pct 9001 MB	376	1	2	3	4	5	6	2	0	60	0	0	0	0	60
377	Pct 9101	377	1	2	3	4	5	6	2	182	189	0	0	0	0	371
